Aktivität,Kategorie,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Informationos Schule/beruf,Information,,,,,,,,,,,,,,,,38.5,36.5,32.5,29.5
internet-Telefon,Kommunikation,,,,,,,,,,,,,,,,7,8,8.5,6
Newsfeeds,Information,19,15.25,20,,,,,,,,,,,,,,,,
Nachrichten Apps,Information,17,15.75,16,,,,,,,,,,,,,,,,
Zeitschriften Portal,Information,13,15,17,18,17,22,23,19.5,21.5,17,15,,,,,,,,
Nachrichten Provider,Information,,16,12,15,9,7,10,13,18,,,,,,,,37.5,30,32
Nachrichtenportale TV,Information,21,19.75,20,14,6,6,8,7.75,7,5,5,5,5,4.25,5.5,,,,
Chatten,Kommunikation,,,,,,,,,,80.25,33,44,45.5,48,28,29,30,25.5,25.5
Instant-Massanger,Kommunikation,,,,,,,,,,9.75,13,23.75,48,63,71,73,71.5,57.5,40.5
E-Mail,Kommunikation,,,,,,,,,,40.5,48,52,55.75,55,55,49,59.5,49.5,52
Multi-User-Spiele,Unterhaltung,,,,,,,,,,17.25,15,12.25,13,15,14,19,,14.5,12.5
Informationos suche,Information,,,,,,,,,,44,38,41,38,,,39,40,34,35
Veranstaltungen suchen,Information,,,,,,,,,,11,15,,14,11,12.5,13,15.5,12.5,13.5
Newsgroups,Information,,,,,,,,,13.25,11,15,22,23,21.5,18.5,22,21.5,15.5,13
Video Anleitungen,Information,,,,,,,,,,12,11,,,,,,,,
Video Produktvorstellung,Information,,,,,,,,,,11,9,,,,,,,,
Webblogs,Information,,,,,,,,,,7,7,7,8,8.75,8.25,7,6.5,8,3.5
Sport-Live-Ticker,Unterhaltung,,,,,,,,,,10,12,11,8,7,9.25,6,,,
Videoportale,Unterhaltung,,,,,,,,,,74.5,74,71,68,65.5,64,26,19.5,9,6
Musik,Unterhaltung,,,,,,,,,,57.5,67,67,61.75,59.5,,47,48.5,33.5,27.5
Surfen ,Unterhaltung,,,,,,,,,,43,47,42,44.5,44,45,44,,,
TV-Mediatek ,Unterhaltung,13.25,,,,,,,,,12.5,11,11,9.25,8.25,8,,,,0.5
TV-Live/Internet,Unterhaltung,16.25,,,,,,,,,6,8,5,3.75,4,4,2.5,,1.5,
Internet-Radio,Unterhaltung,,,,,,,,,,6,7,12,11,10.25,12,8,9,,6.5
Mediateken,Unterhaltung,,23.5,17.25,16.5,8.25,8,8,7,11,5,7,6,5,3.25,3,,,,